Accident_Index,Location_Easting,Location_Northing,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date_Time
2018010091325,,,,,1,3,1,1,6,2,E09000007,3,201,9,30,6,-1,4,500,-1,-1,4,1,1,0,-1,3,2,,2018-09-02 06:47:00
2018010103208,,,,,1,3,2,1,7,2,E09000007,4,400,6,20,6,2,3,201,0,5,4,1,1,0,0,3,1,,2018-04-21 22:30:00
2018010125905,,,,,1,3,1,1,4,17,E09000025,6,0,9,30,0,-1,-1,0,-1,0,4,1,1,0,0,3,2,,2018-08-08 17:08:00
2018010128977,,,,,1,3,2,4,7,15,E09000016,5,0,3,40,7,4,5,0,0,0,1,1,2,0,0,3,1,,2018-08-25 15:48:00
201801T266389,,,,,1,3,1,1,7,5,E09000030,3,100,6,30,3,4,6,0,0,4,4,2,2,0,0,3,1,,2018-01-13 17:53:00
201801T278015,,,,,1,2,2,1,2,5,E09000030,3,100,6,30,0,-1,-1,0,0,0,4,1,1,0,0,3,1,,2018-05-02 18:35:00
201804WA18275,,,,,4,2,1,1,5,71,E06000009,3,584,6,30,3,2,3,586,0,4,1,1,1,0,0,3,1,,2018-05-31 19:50:00
201804WD18087,,,,,4,3,1,2,7,85,E10000017,4,5266,6,30,0,-1,-1,0,0,0,4,1,1,0,0,3,1,,2018-05-26 22:30:00
201804WD18117,,,,,4,2,3,2,6,85,E10000017,3,585,6,40,9,4,6,0,0,5,1,1,1,0,0,3,1,,2018-06-29 12:00:00
2018051800775,326899.0,384600.0,-3.099698,53.353226,5,1,1,1,6,95,E08000015,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01007286,
